Ticker,Market,Sector,Size,Model,Threshold,Band,AUC,PR_AUC,CAGR,Sharpe,MaxDD,TradeRate,Scenario,Suite
LYV,QQQ,XLF,MDY,RF,0.55,0.02,0.4818386882211747,0.4744142136801148,-0.1107749785282488,-0.07114657291013277,-0.5791029111959316,0.7694840834248079,sp500_med,QQQ
TRGP,QQQ,XLE,MDY,RF,0.575,0.08,0.5603760282021152,0.5558433272545746,-0.010176712155858247,-0.1410174102805133,-0.10863563607380522,0.03496503496503497,sp500_med,QQQ
TSLA,QQQ,XLY,,LR,0.575,0.1,0.5160014836795253,0.4799761805918842,-0.11093592879861991,-0.1460389813902343,-0.43869365639169666,0.37177747625508817,sp500_med,QQQ
HII,QQQ,XLI,MDY,LR,0.575,0.1,0.5042436223135298,0.4860827304850913,-0.05309218472935795,-0.1621889286720703,-0.3345123800772132,0.36857142857142855,sp500_med,QQQ
APTV,QQQ,XLB,MDY,RF,0.575,0.1,0.49255753459301277,0.4560108113122372,-0.029373603834710105,-0.17672725772297992,-0.17872514842117138,0.09145427286356822,sp500_med,QQQ
KMI,QQQ,XLE,MDY,RF,0.65,0.02,0.5348899083308475,0.5732509213499517,-0.072399001420143,-0.2242184885673879,-0.5270687910886542,0.9702549575070821,sp500_med,QQQ
LULU,QQQ,XLY,MDY,RF,0.55,0.04,0.4929014628533859,0.46752912858069134,-0.07575085203087795,-0.22428712735936704,-0.41086493691258597,0.14705882352941177,sp500_med,QQQ
GM,QQQ,XLI,MDY,RF,0.55,0.08,0.48577521559805026,0.4615691988520876,-0.082802563770069,-0.33175891508257144,-0.3560420050833051,0.21338912133891214,sp500_med,QQQ
SW,QQQ,XLB,,LR,0.55,0.1,0.49195606556137395,0.48199659193815325,-0.14165437136918713,-0.41801060228605635,-0.5352617993511812,0.45622119815668205,sp500_med,QQQ
PODD,QQQ,XLY,,LR,0.55,0.06,0.4954366817692558,0.49661645631160933,-0.20392235150407667,-0.4743656894365004,-0.6975647880066262,0.7393736017897091,sp500_med,QQQ
SYF,QQQ,XLF,MDY,LR,0.625,0.04,0.5051805337519623,0.45835483526611487,-0.26526641868978684,-0.5358132084061099,-0.5950618137379906,0.6591337099811676,sp500_med,QQQ
ICE,QQQ,XLRE,,RF,0.625,0.06,0.49679036387897146,0.5018062545928126,-0.08424659238341858,-0.5389940391959896,-0.2830693836604379,0.9787685774946921,sp500_med,QQQ
CMG,QQQ,XLY,,LR,0.65,0.06,0.4854097981375441,0.5092543607044728,-0.13382070217720443,-0.539777295843113,-0.5384926110694551,0.44017563117453345,sp500_med,QQQ
KDP,QQQ,XLP,,RF,0.6,0.1,0.48846516007532953,0.4743759842423021,-0.08056348678977165,-0.5439166587231941,-0.3904337663124837,0.6804733727810651,sp500_med,QQQ
ULTA,QQQ,XLY,MDY,RF,0.575,0.1,0.4970272545511944,0.4874538622741601,-0.18037047704816145,-0.6043645839796405,-0.5927670514338454,0.3830275229357798,sp500_med,QQQ
GDDY,QQQ,XLK,,RF,0.55,0.1,0.49750665698378127,0.5144669416643959,-0.12774471606439042,-0.6539703094990569,-0.3485332411550778,0.2570281124497992,sp500_med,QQQ
HCA,QQQ,XLV,MDY,RF,0.6,0.06,0.4976555579934502,0.528559058410543,-0.15016386936971537,-0.6764559920033808,-0.353475915186237,0.6737891737891738,sp500_med,QQQ
PM,QQQ,XLP,,RF,0.55,0.02,0.4901656286094823,0.5047468708562267,-0.13724913967234298,-0.6955281225375572,-0.5303620729065281,0.9859154929577465,sp500_med,QQQ
IBKR,QQQ,XLF,,LR,0.65,0.06,0.47256089959358716,0.49557327392975725,-0.23941583760144403,-0.7408712409329805,-0.716972277477814,0.9910714285714286,sp500_med,QQQ
NWSA,QQQ,XLC,MDY,LR,0.6,0.1,0.5408703163805205,0.46170411954555396,-0.15646610690494345,-0.8245189912811094,-0.21868089042257166,0.43154761904761907,sp500_med,QQQ
UAL,QQQ,XLI,MDY,LR,0.55,0.08,0.5049059807619949,0.5085659444415711,-0.25033176098406373,-0.8341305230143535,-0.6876116681390824,0.07244785949506037,sp500_med,QQQ
SMCI,QQQ,XLK,,RF,0.55,0.04,0.4707014859061066,0.46873493716307335,-0.6247918743325027,-0.8907293254796785,-0.9833981760633791,0.7258601553829079,sp500_med,QQQ
GNRC,QQQ,XLI,MDY,LR,0.55,0.08,0.5079169598874033,0.4761921572666886,-0.23790485717717536,-0.9143112156732665,-0.5790097237957477,0.10317460317460317,sp500_med,QQQ
TMUS,QQQ,XLP,,RF,0.575,0.02,0.48363034814647715,0.5516906662195908,-0.17487130082045899,-0.9265296658107712,-0.5665641163209407,0.910913140311804,sp500_med,QQQ
LDOS,QQQ,XLI,,RF,0.575,0.1,0.48309668695064234,0.4956833816830778,-0.07330103140684163,-1.0577434423739271,-0.24131208318565822,0.10867178924259056,sp500_med,QQQ
META,QQQ,XLC,,LR,0.65,0.08,0.48951048951048953,0.42599936776865666,-0.3077966514347724,-1.0799705364140022,-0.47524905802696693,0.9044776119402985,sp500_med,QQQ
CBOE,QQQ,XLP,,RF,0.55,0.1,0.5092539082759131,0.5712064607263074,-0.07448427785571965,-1.0844153120321063,-0.23355979791701809,0.09607577807848444,sp500_med,QQQ
WDAY,QQQ,XLK,,LR,0.6,0.1,0.5035469131423564,0.46755415811517087,-0.1935688672127286,-1.0891137175082664,-0.4784335444610076,0.27053140096618356,sp500_med,QQQ
FANG,QQQ,XLE,MDY,RF,0.55,0.1,0.4991372141372142,0.46811866067785857,-0.07309853665569821,-1.1108424624668518,-0.17182757326597997,0.017713365539452495,sp500_med,QQQ
ALLE,QQQ,XLI,MDY,LR,0.65,0.02,0.5029174596814585,0.4727070912488196,-0.27862432471326704,-1.1330678164274586,-0.6282970312301142,0.8833922261484098,sp500_med,QQQ
ABBV,QQQ,XLV,,RF,0.55,0.08,0.5070949432404541,0.5243349077126228,-0.07812370723538298,-1.2249237953747882,-0.2291649530958525,0.16202945990180032,sp500_med,QQQ
NWS,QQQ,XLC,MDY,LR,0.625,0.06,0.548201181313764,0.4969010548160895,-0.29677536339722566,-1.3323056458349651,-0.38087961913994606,0.8184523809523809,sp500_med,QQQ
EPAM,QQQ,XLY,,LR,0.55,0.02,0.523419587291189,0.5093043201833172,-0.5043994029012691,-1.522068651678936,-0.8693562083333345,0.8536585365853658,sp500_med,QQQ
GEV,QQQ,XLK,,RF,0.55,0.08,0.530214424951267,0.5231082160232433,1.2621237057723276,3.4071767753326916,-0.037599314998468136,0.4782608695652174,sp500_short,QQQ
GEHC,QQQ,XLB,,LR,0.55,0.02,0.4900371496116177,0.42704696706415357,0.8550262523911225,2.547100868593507,-0.08647943007862413,1.0,sp500_short,QQQ
DOW,QQQ,XLB,MDY,RF,0.6,0.02,0.46723883351790324,0.4075683377987361,1.729954528770052,2.363627006068646,-0.18988806625771637,0.9932885906040269,sp500_short,QQQ
ABNB,QQQ,XLY,,LR,0.55,0.08,0.5543237250554324,0.4898097385841823,0.9761628620758911,2.253283922180949,-0.14077349503103764,0.8957345971563981,sp500_short,QQQ
VLTO,QQQ,XLI,MDY,RF,0.65,0.02,0.49583333333333335,0.43667346215025876,0.42574331551669986,2.018237587003385,-0.08509912495565619,0.9857142857142858,sp500_short,QQQ
MRNA,QQQ,XLV,,RF,0.575,0.04,0.5069259118058204,0.4165069626837259,1.5674624772417718,1.9698056253076495,-0.3010768287458577,0.9262820512820513,sp500_short,QQQ
FTV,QQQ,XLI,MDY,RF,0.65,0.04,0.514708722240103,0.4637443592790658,0.647449816616763,1.6730231884461646,-0.313715081306441,0.9470046082949308,sp500_short,QQQ
INVH,QQQ,XLRE,MDY,RF,0.65,0.02,0.4560986371212864,0.4481861948812283,0.3201793141617628,1.5196485924530392,-0.18505034289429512,0.9777777777777777,sp500_short,QQQ
OTIS,QQQ,XLI,MDY,RF,0.65,0.06,0.46187874056726513,0.5050200192489819,0.40002891567475296,1.4065024149138545,-0.20433006829721367,0.9959677419354839,sp500_short,QQQ
IR,QQQ,XLI,MDY,RF,0.65,0.06,0.5037386646868537,0.44458740447149536,0.6117587467870715,1.3645617589956516,-0.3093097039932562,0.9181585677749361,sp500_short,QQQ
UBER,QQQ,XLI,MDY,RF,0.55,0.04,0.5726233226233226,0.5508523924376766,0.33363609670066907,1.0481870816678998,-0.33167904186911934,0.6048109965635738,sp500_short,QQQ
DAY,QQQ,XLY,,RF,0.625,0.02,0.53125,0.5094310063679097,0.3714519523448103,0.9882760759457762,-0.336867469132877,0.9883381924198251,sp500_short,QQQ
XYZ,QQQ,XLY,,LR,0.625,0.02,0.5079962894248609,0.4953355712552349,0.28158807632777916,0.7501890556941578,-0.3487831322276952,0.9978494623655914,sp500_short,QQQ
VICI,QQQ,XLRE,MDY,RF,0.625,0.02,0.4682184978274364,0.47736412911071885,0.1148142668154053,0.7148140058373084,-0.21103374603868874,0.9888579387186629,sp500_short,QQQ
DELL,QQQ,XLK,,RF,0.55,0.1,0.5260235643867357,0.48991578915673756,0.08683629539969706,0.5370815592434501,-0.15891904303519033,0.07710280373831775,sp500_short,QQQ
FOXA,QQQ,XLF,MDY,RF,0.575,0.02,0.5258932155760738,0.5311245575345931,0.059303099187538066,0.3382637757889181,-0.3336601528501374,0.9866666666666667,sp500_short,QQQ
LW,QQQ,XLV,MDY,RF,0.65,0.1,0.47982374768089053,0.4586652300568377,0.016025793405384015,0.18268024775081917,-0.22486415730371678,0.15144230769230768,sp500_short,QQQ
CEG,QQQ,XLK,,LR,0.6,0.04,0.5186480186480187,0.5295415152393609,-0.07997310868520835,0.14729774038270285,-0.3334483954764328,0.9354838709677419,sp500_short,QQQ
FOX,QQQ,XLF,MDY,RF,0.625,0.02,0.5138364779874214,0.49531037962555513,-0.027199592985481913,0.0798448405137515,-0.3749219699989025,1.0,sp500_short,QQQ
DDOG,QQQ,XLK,,RF,0.6,0.1,0.5317657210656888,0.48845046652948887,-0.05824844752448344,-0.06118391439256685,-0.31978107917425846,0.45787545787545786,sp500_short,QQQ
TTD,QQQ,XLY,,LR,0.55,0.1,0.4875620777593843,0.46285186164378334,-0.01586375477173474,-0.0791268221126963,-0.15461964152796626,0.05200945626477541,sp500_short,QQQ
